Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Mohamed Sanu,ATL,16,66,838,12.7,52.4,44t,4,41,94,395
Eric Ebron,IND,16,66,750,11.36,46.9,53t,13,39,110,250
Dede Westbrook,JAX,16,66,717,10.86,44.8,61t,5,39,101,362
Corey Davis,TEN,16,65,891,13.71,55.7,51,4,47,112,267
Alshon Jeffery,PHI,13,65,843,12.97,64.8,52,6,48,92,272
Cole Beasley,DAL,16,65,672,10.34,42,32t,3,39,87,214
Calvin Ridley,ATL,16,64,821,12.83,51.3,75t,10,39,92,364
Nelson Agholor,PHI,16,64,736,11.5,46,83t,4,28,97,347
Kyle Rudolph,MIN,16,64,634,9.91,39.6,44t,4,32,82,256
Jordy Nelson,OAK,15,63,739,11.73,49.3,66,3,36,88,241
Nyheim Hines,IND,16,63,425,6.75,26.6,28,2,29,81,349
Willie Snead,BAL,16,62,651,10.5,40.7,28,1,37,95,274
Theo Riddick,DET,14,61,384,6.3,27.4,20,0,16,74,406
Chris Godwin,TB,16,59,842,14.27,52.6,48,7,48,95,257
Demaryius Thomas,HOU,15,59,677,11.47,45.1,45,5,37,89,277
Todd Gurley,LA,14,59,580,9.83,41.4,56,4,26,81,587
Danny Amendola,MIA,15,59,575,9.75,38.3,39,1,27,79,229
Dion Lewis,TEN,16,59,400,6.78,25,37,1,13,67,473
Tyler Lockett,SEA,16,57,965,16.93,60.3,52t,10,37,70,233
Zay Jones,BUF,16,56,652,11.64,40.8,57,7,33,102,142
David Njoku,CLE,16,56,639,11.41,39.9,66,4,27,88,294
D.J. Moore,CAR,16,55,788,14.33,49.2,82,2,33,82,416
Allen Robinson,CHI,13,55,754,13.71,58,43,4,36,94,216
Jimmy Graham,GB,16,55,636,11.56,39.8,54,2,32,89,261
James Conner,PIT,13,55,497,9.04,38.2,29,1,20,71,544
T.J. Yeldon,JAX,14,55,487,8.85,34.8,37,4,19,78,454
Michael Crabtree,BAL,16,54,607,11.24,37.9,27,3,35,100,122
Trey Burton,CHI,16,54,569,10.54,35.6,47,6,29,76,214
Jordan Reed,WAS,13,54,558,10.33,42.9,34,2,26,84,231
Chester Rogers,IND,16,53,485,9.15,30.3,34,2,28,72,275
Kenyan Drake,MIA,16,53,477,9,29.8,52t,5,23,73,418
Robby Anderson,NYJ,14,50,752,15.04,53.7,76t,6,30,94,181
Doug Baldwin,SEA,13,50,618,12.36,47.5,42,5,32,73,157
Vance McDonald,PIT,15,50,610,12.2,40.7,75t,4,33,72,387
Melvin Gordon,LAC,12,50,490,9.8,40.8,66t,4,21,66,537
David Johnson,ARI,16,50,446,8.92,27.9,40,3,22,76,385
Donte Moncrief,JAX,16,48,668,13.92,41.8,80t,3,29,89,252
Rob Gronkowski,NE,13,47,682,14.51,52.5,42,3,34,72,177
Duke Johnson,CLE,16,47,429,9.13,26.8,32,3,25,62,328
A.J. Green,CIN,9,46,694,15.09,77.1,38t,6,37,77,163
Evan Engram,NYG,11,45,577,12.82,52.5,54,3,22,64,388
Seth Roberts,OAK,15,45,494,10.98,32.9,44,2,24,64,211
Devin Funchess,CAR,14,44,549,12.48,39.2,27,4,35,79,84
Josh Doctson,WAS,15,44,532,12.09,35.5,32,2,31,78,132
Mike Williams,LAC,16,43,664,15.44,41.5,55t,10,36,66,118
Christian Kirk,ARI,12,43,590,13.72,49.2,75t,3,21,68,225
Antonio Callaway,CLE,16,43,586,13.63,36.6,71,5,27,79,241
Jarius Wright,CAR,16,43,447,10.4,27.9,33,1,25,59,198
C.J. Uzomah,CIN,16,43,439,10.21,27.4,29,3,21,64,202
Joe Mixon,CIN,14,43,296,6.88,21.1,21,1,14,55,328
John Brown,BAL,16,42,715,17.02,44.7,71,5,28,97,156
Courtland Sutton,DEN,16,42,704,16.76,44,42,4,31,84,163
Kendrick Bourne,SF,16,42,487,11.6,30.4,33,4,30,67,147
DeSean Jackson,TB,12,41,774,18.88,64.5,75t,4,31,74,181
Josh Gordon,NE,12,41,737,17.98,61.4,55t,4,30,71,281
Tyrell Williams,LAC,16,41,653,15.93,40.8,75t,5,30,65,195
Chris Thompson,WAS,10,41,268,6.54,26.8,23,1,12,55,232
Cooper Kupp,LA,8,40,566,14.15,70.8,70t,6,25,55,303
Sammy Watkins,KC,10,40,519,12.97,51.9,50,3,24,55,225
Dalvin Cook,MIN,11,40,305,7.62,27.7,27,2,15,49,373
Rashard Higgins,CLE,13,39,572,14.67,44,40,4,27,53,152
Chris Herndon IV,NYJ,16,39,502,12.87,31.4,32t,4,25,56,166
Curtis Samuel,CAR,13,39,494,12.67,38,53t,5,24,65,111
Austin Ekeler,LAC,14,39,404,10.36,28.9,44t,3,18,53,411
Marquez Valdes-Scantling,GB,16,38,581,15.29,36.3,60,2,23,73,209
Keelan Cole,JAX,16,38,491,12.92,30.7,35,1,25,70,136
Quincy Enunwa,NYJ,11,38,449,11.82,40.8,42,1,22,68,272
Randall Cobb,GB,9,38,383,10.08,42.6,75t,2,18,61,233
Jacquizz Rodgers,TB,16,38,304,8,19,24,0,13,45,240
Devontae Booker,DEN,16,38,275,7.24,17.2,30,0,9,51,242
Kenny Stills,MIA,15,37,553,14.95,36.9,75t,6,27,64,127
Taywan Taylor,TEN,13,37,466,12.59,35.8,55,1,19,56,161
Jermaine Kearse,NYJ,14,37,371,10.03,26.5,29,1,20,76,135
Ian Thomas,CAR,16,36,333,9.25,20.8,31,2,20,49,158
Ryan Switzer,PIT,16,36,253,7.03,15.8,24,1,15,44,137
Chris Hogan,NE,16,35,532,15.2,33.2,63t,3,22,55,178
Marvin Jones,DET,9,35,508,14.51,56.4,39t,5,27,62,101
Benjamin Watson,NO,16,35,400,11.43,25,32,2,21,46,87
Ryan Grant,IND,14,35,334,9.54,23.9,23,1,18,52,93
Laquon Treadwell,MIN,15,35,302,8.63,20.1,22,1,16,53,120
Phillip Lindsay,DEN,15,35,241,6.89,16.1,29t,1,12,47,298
Giovani Bernard,CIN,12,35,218,6.23,18.2,26,0,8,48,222
Javorius Allen,BAL,14,35,196,5.6,14,17,2,11,43,175
O.J. Howard,TB,10,34,565,16.62,56.5,75t,5,28,48,209
Mark Andrews,BAL,16,34,552,16.24,34.5,74,3,28,50,195
